Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7)
3.334694945265432e-05,0.08314471910548218,0.0,0.0,0.0,0.0,0.6699999892402353,0.32999997848188506,1.200515440128784e-12,2.1517900348765097e-08,2.1456975631489192e-13
4.142238262326655e-05,0.08314471888883354,0.0,0.0,0.0,0.0,0.6699999866345442,0.32999997327063124,1.2103558940818444e-12,2.6729035747216552e-08,3.330247085847934e-13
4.9497815793878784e-05,0.08314471867218289,0.0,0.0,0.0,0.0,0.6699999840288287,0.32999996805935544,1.2201963385252985e-12,3.194016608723026e-08,4.784091935994704e-13
6.564868213510325e-05,0.08314471823887547,0.0,0.0,0.0,0.0,0.6699999788173246,0.32999995763674034,1.2398771915538661e-12,4.236240771050244e-08,8.519068198015399e-13
8.179954847632772e-05,0.08314471780555995,0.0,0.0,0.0,0.0,0.6699999736057229,0.3299999472140436,1.2595579846244312e-12,5.27846174922318e-08,1.3389243858276123e-12
9.999999999999998e-05,0.08314471693890454,0.0,0.0,0.0,0.0,0.6699999677326389,0.32999993546858747,1.2817362294402045e-12,6.452938393066629e-08,2.028574212997406e-12
0.00011410128115877665,0.08314471693890454,0.0,0.0,0.0,0.0,0.6699999631822267,0.32999992636842024,1.2989193329911896e-12,7.362891086918484e-08,2.6688441623662602e-12
0.00014640301384122558,0.08314471607221667,0.0,0.0,0.0,0.0,0.66999995275834,0.3299999055225163,1.3382802675802402e-12,9.447298476480006e-08,4.498882400289753e-12
0.00017870474652367452,0.08314471520549634,0.0,0.0,0.0,0.0,0.669999942334063,0.32999988467636243,1.3776406723728626e-12,1.1531677773988113e-07,6.859744811170978e-12
0.0002433082118885724,0.08314471347195834,0.0,0.0,0.0,0.0,0.669999921484338,0.329999842983428,1.4563594284455317e-12,1.5700327514601372e-07,1.3296769888389203e-11
0.0003725151426183682,0.0831447100044929,0.0,0.0,0.0,0.0,0.6699998797802041,0.3299997595959127,1.6137854781344234e-12,2.4037019554707544e-07,3.38916246937072e-11
