Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5)
0.00011672077885444134,0.08314471686872052,0.0,0.0,0.0,0.0,0.6699999623369196,0.32999992467793915,1.3021113111723767e-12,7.531926274500102e-08,1.6132926991760948e-12,2.369842343149471e-12
0.00012881975763251598,0.08314471654412557,0.0,0.0,0.0,0.0,0.6699999584325689,0.32999991686989333,1.3168544350474672e-12,8.312666792844299e-08,1.893280303793444e-12,3.0911531742226942e-12
0.00014091873641059062,0.083144716219531,0.0,0.0,0.0,0.0,0.6699999545281635,0.3299999090618101,1.33159749345837e-12,9.093403839400221e-08,2.186379315108367e-12,3.930494381696512e-12
0.00015301771518866526,0.083144715894937,0.0,0.0,0.0,0.0,0.6699999506237034,0.32999990125369105,1.3463404803048999e-12,9.8741370911189e-08,2.491622605610885e-12,4.893029242580122e-12
0.0001651166939667399,0.08314471557034378,0.0,0.0,0.0,0.0,0.6699999467191886,0.3299998934455378,1.361083389487866e-12,1.0654866225016357e-07,2.8082139614362296e-12,5.98357849926298e-12
0.00017721567274481454,0.08314471524575151,0.0,0.0,0.0,0.0,0.6699999428146188,0.3299998856373521,1.3758262149096143e-12,1.1435590918170141e-07,3.135494640614679e-12,7.206687276541623e-12
0.00018931465152288918,0.08314471492116035,0.0,0.0,0.0,0.0,0.6699999389099944,0.32999987782913537,1.3905689504714705e-12,1.2216310847644026e-07,3.4729314988924555e-12,8.566649600073146e-12
0.00020141363030096382,0.08314471459657052,0.0,0.0,0.0,0.0,0.6699999350053153,0.3299998700208893,1.405311590075461e-12,1.2997025690464328e-07,3.820098626067757e-12,1.0067545366967276e-11
0.00022561158785711308,0.0831447139473954,0.0,0.0,0.0,0.0,0.6699999271957925,0.3299998544043157,1.4347965570153177e-12,1.4558438824441958e-07,4.54228422567886e-12,1.3507726275550454e-11
0.0002473897496576474,0.08314471336314386,0.0,0.0,0.0,0.0,0.6699999201670348,0.3299998403493154,1.4613326379072624e-12,1.596369000900126e-07,5.222642122023816e-12,1.7124033819981504e-11
