Time (s),Volume (m^3),Ar,He,Ne,N2,H2(1),O2(2),H(3),[O]O(4),OO(7),OH(D)(5),H2O(10),O2(S)(11)
3.421553330334811e-05,0.08314471908218285,0.0,0.0,0.0,0.0,0.66999998895997,0.32999997792136665,1.2015745600078122e-12,2.2078405853901747e-08,1.8799988004363307e-13,7.452901957719568e-14,1.7126448478278617e-15,1.2533282492121164e-15
3.9684186944413815e-05,0.08314471893547086,0.0,0.0,0.0,0.0,0.6699999871954052,0.32999997439232326,1.2082388432049462e-12,2.560736905811982e-08,2.4704467118195997e-13,1.1361477765573029e-13,3.0156385770926177e-15,2.2068695943467616e-15
4.515284058547952e-05,0.08314471878875834,0.0,0.0,0.0,0.0,0.6699999854308286,0.32999997086326877,1.2149032251186916e-12,2.9136330651240874e-08,3.125805371829659e-13,1.6370915144452834e-13,4.944496569398531e-15,3.618422895012362e-15
5.32040173595427e-05,0.08314471857276132,0.0,0.0,0.0,0.0,0.6699999828329245,0.32999996566762896,1.224715000094624e-12,3.433180982165203e-08,4.2000152872320037e-13,2.595212232620425e-13,9.27101062738539e-15,6.784597897789981e-15
6.125519413360587e-05,0.08314471835676338,0.0,0.0,0.0,0.0,0.669999980234994,0.3299999604719641,1.234527033327144e-12,3.952728483709563e-08,5.393595308240405e-13,3.841214843644671e-13,1.5878194479181485e-14,1.1619781009231471e-14
6.930637090766904e-05,0.0831447181407646,0.0,0.0,0.0,0.0,0.6699999776370361,0.32999995527627385,1.2443393471314735e-12,4.472275537009727e-08,6.695774651080829e-13,5.399911285575603e-13,2.538585740831661e-14,1.8577550684328354e-14
7.735754768173223e-05,0.08314471792476501,0.0,0.0,0.0,0.0,0.6699999750390503,0.3299999500805571,1.2541519613278255e-12,4.99182211347336e-08,8.096967248646601e-13,7.293329302170561e-13,3.84625744422664e-14,2.8147171676166155e-14
8.540872445579541e-05,0.08314471770876476,0.0,0.0,0.0,0.0,0.6699999724410363,0.32999994488481343,1.2639648929205143e-12,5.5113681891381535e-08,9.588925886775357e-13,9.540355558455047e-13,5.582059271124722e-14,4.0849867295383346e-14
9.345990122985859e-05,0.0831447174927638,0.0,0.0,0.0,0.0,0.6699999698429929,0.3299999396890419,1.2737781567579315e-12,6.030913743596615e-08,1.1164428504020224e-12,1.2157471477433428e-12,7.821003234639416e-14,5.723457559046407e-14
9.999999999999998e-05,0.08314471727676215,0.0,0.0,0.0,0.0,0.6699999677325388,0.32999993546841305,1.2817498802523057e-12,6.452948453942889e-08,1.2501408596214703e-12,1.4565635458060998e-12,1.0063907097613937e-13,7.364825372574344e-14
